jobTitle,location,duration
Communication Agent," Cairo, Egypt", Full-time
Reservation Supervisor," Cairo, Egypt", Full-time
Revenue Analyst," Cairo, Egypt", Full-time
Mixology," Cairo, Egypt", Full-time
Specialty Restaurant Head Chef," Cairo, Egypt", Full-time
specialty Restaurant Sous Chef," Cairo, Egypt", Full-time
Specialty Restaurant Manager," Cairo, Egypt", Full-time
Loss Prevention Officer," Cairo, Egypt", Full-time
Heart of House Specialist (Steward)," Cairo, Egypt", Full-time
Ambassadors Cafeteria Attendant," Cairo, Egypt", Full-time
